n_thread,time
1, 0.00
1, 0.00
1, 0.00
1, 0.00
1, 0.00
2, 0.04
2, 0.04
2, 0.04
2, 0.04
2, 0.04
3, 0.05
3, 0.05
3, 0.05
3, 0.05
3, 0.05
4, 0.08
4, 0.07
4, 0.08
4, 0.08
4, 0.08
5, 0.10
5, 0.10
5, 0.10
5, 0.11
5, 0.10
6, 0.13
6, 0.14
6, 0.14
6, 0.14
6, 0.13
7, 0.17
7, 0.17
7, 0.17
7, 0.18
7, 0.18
8, 0.21
8, 0.21
8, 0.23
8, 0.23
8, 0.22
9, 0.28
9, 0.29
9, 0.30
9, 0.30
9, 0.30
10, 0.38
10, 0.39
10, 0.37
10, 0.40
10, 0.39
11, 0.43
11, 0.48
11, 0.47
11, 0.48
11, 0.47
12, 0.56
12, 0.58
12, 0.58
12, 0.56
12, 0.56
13, 0.68
13, 0.69
13, 0.70
13, 0.67
13, 0.70
14, 0.77
14, 0.81
14, 0.80
14, 0.78
14, 0.81
15, 0.93
15, 0.91
15, 0.93
15, 0.91
15, 0.93
16, 1.00
16, 1.00
16, 1.02
16, 1.03
16, 1.02
