n_thread,time
1, 0.43
1, 0.42
1, 0.45
1, 0.43
1, 0.43
2, 0.45
2, 0.47
2, 0.47
2, 0.46
2, 0.47
3, 0.47
3, 0.46
3, 0.47
3, 0.46
3, 0.47
4, 0.47
4, 0.47
4, 0.47
4, 0.71
4, 0.47
5, 0.47
5, 0.47
5, 0.47
5, 0.47
5, 0.47
6, 0.47
6, 0.47
6, 0.47
6, 0.47
6, 0.47
7, 0.47
7, 0.47
7, 0.47
7, 0.47
7, 0.47
8, 0.47
8, 0.47
8, 0.47
8, 0.47
8, 0.47
9, 0.47
9, 0.47
9, 0.47
9, 0.47
9, 0.47
10, 0.47
10, 0.47
10, 0.47
10, 0.47
10, 0.49
11, 0.48
11, 0.47
11, 0.47
11, 0.47
11, 0.47
12, 0.48
12, 0.47
12, 0.47
12, 0.47
12, 0.47
13, 0.47
13, 0.47
13, 0.47
13, 0.47
13, 0.47
14, 0.47
14, 0.47
14, 0.47
14, 0.47
14, 0.47
15, 0.47
15, 0.47
15, 0.47
15, 0.48
15, 0.48
16, 0.48
16, 0.47
16, 0.47
16, 0.47
16, 0.47
17, 0.47
17, 0.47
17, 0.47
17, 0.47
17, 0.47
18, 0.48
18, 0.47
18, 0.47
18, 0.47
18, 0.47
19, 0.47
19, 0.47
19, 0.47
19, 0.47
19, 0.47
20, 0.47
20, 0.47
20, 0.47
20, 0.47
20, 0.47
21, 0.47
21, 0.47
21, 0.47
21, 0.47
21, 0.47
22, 0.47
22, 0.47
22, 0.47
22, 0.47
22, 0.47
23, 0.47
23, 0.47
23, 0.47
23, 0.47
23, 0.47
24, 0.47
24, 0.47
24, 0.47
24, 0.47
24, 0.47
25, 0.47
25, 0.47
25, 0.47
25, 0.47
25, 0.47
26, 0.47
26, 0.48
26, 0.47
26, 0.47
26, 0.47
27, 0.48
27, 0.47
27, 0.47
27, 0.47
27, 0.47
28, 0.47
28, 0.47
28, 0.47
28, 0.47
28, 0.47
29, 0.47
29, 0.47
29, 0.47
29, 0.47
29, 0.47
30, 0.47
30, 0.47
30, 0.47
30, 0.47
30, 0.48
31, 0.47
31, 0.47
31, 0.47
31, 0.47
31, 0.48
32, 0.47
32, 0.47
32, 0.47
32, 0.48
32, 0.47
