n_thread,time
1, 0.00
1, 0.00
1, 0.00
1, 0.00
1, 0.00
2, 0.07
2, 0.08
2, 0.08
2, 0.08
2, 0.08
3, 0.25
3, 0.25
3, 0.25
3, 0.25
3, 0.24
4, 0.54
4, 0.51
4, 0.54
4, 0.52
4, 0.52
5, 0.88
5, 0.92
5, 0.89
5, 0.90
5, 0.87
6, 1.43
6, 1.48
6, 1.41
6, 1.43
6, 1.43
7, 2.19
7, 2.30
7, 2.17
7, 2.35
7, 2.11
8, 3.07
8, 3.21
8, 3.13
8, 3.16
8, 3.15
9, 4.57
9, 4.47
9, 4.59
9, 4.56
9, 4.45
10, 6.01
10, 5.91
10, 6.12
10, 6.00
10, 6.15
11, 7.91
11, 7.84
11, 7.84
11, 8.00
11, 7.88
12, 10.33
12, 10.41
12, 10.27
12, 10.03
12, 10.01
13, 13.06
13, 12.91
13, 12.92
13, 12.93
13, 12.85
14, 15.83
14, 15.87
14, 15.90
14, 15.76
14, 16.07
15, 19.93
15, 19.75
15, 20.14
15, 19.84
15, 19.96
16, 20.04
16, 19.82
16, 20.16
16, 20.45
16, 20.40
