n_thread,time
1, 0.43
1, 0.43
1, 0.43
1, 0.43
1, 0.43
2, 0.47
2, 0.46
2, 0.46
2, 0.46
2, 0.46
3, 0.46
3, 0.47
3, 0.48
3, 0.47
3, 0.46
4, 0.46
4, 0.47
4, 0.47
4, 0.47
4, 0.47
5, 0.47
5, 0.47
5, 0.46
5, 0.47
5, 0.47
6, 0.47
6, 0.46
6, 0.47
6, 0.47
6, 0.47
7, 0.48
7, 0.47
7, 0.47
7, 0.47
7, 0.47
8, 0.47
8, 0.47
8, 0.47
8, 0.47
8, 0.47
9, 0.47
9, 0.47
9, 0.47
9, 0.47
9, 0.47
10, 0.47
10, 0.48
10, 0.47
10, 0.47
10, 0.46
11, 0.47
11, 0.47
11, 0.47
11, 0.47
11, 0.47
12, 0.47
12, 0.47
12, 0.47
12, 0.47
12, 0.47
13, 0.48
13, 0.47
13, 0.47
13, 0.47
13, 0.47
14, 0.47
14, 0.47
14, 0.47
14, 0.47
14, 0.47
15, 0.47
15, 0.47
15, 0.47
15, 0.47
15, 0.47
16, 0.47
16, 0.47
16, 0.47
16, 0.47
16, 0.47
