n_thread,time
1, 0.93
1, 0.87
1, 0.81
1, 1.01
1, 1.23
2, 0.86
2, 0.74
2, 0.86
2, 0.69
2, 0.67
3, 0.71
3, 0.74
3, 0.70
3, 0.72
3, 0.76
4, 0.73
4, 0.74
4, 0.81
4, 0.75
4, 0.74
5, 0.77
5, 0.73
5, 0.78
5, 0.75
5, 0.76
6, 0.71
6, 0.71
6, 0.75
6, 0.70
6, 0.74
7, 0.74
7, 0.74
7, 0.74
7, 0.76
7, 0.77
8, 0.72
8, 0.72
8, 0.76
8, 0.73
8, 0.75
9, 0.76
9, 0.74
9, 0.72
9, 0.72
9, 0.76
10, 0.74
10, 0.76
10, 0.73
10, 0.77
10, 0.74
11, 0.73
11, 0.76
11, 0.73
11, 0.73
11, 0.74
12, 0.77
12, 0.78
12, 0.74
12, 0.73
12, 0.72
13, 0.74
13, 0.73
13, 0.76
13, 0.77
13, 0.72
14, 0.75
14, 0.75
14, 0.73
14, 0.76
14, 0.79
15, 0.72
15, 0.72
15, 0.73
15, 0.75
15, 0.78
16, 0.72
16, 0.72
16, 0.80
16, 0.72
16, 0.77
