n_thread,time
1, 0.86
1, 0.96
1, 0.83
1, 0.81
1, 0.85
2, 0.80
2, 0.91
2, 0.83
2, 0.75
2, 0.78
3, 0.80
3, 0.74
3, 0.74
3, 0.77
3, 0.71
4, 0.78
4, 0.76
4, 0.73
4, 0.83
4, 0.76
5, 0.76
5, 0.75
5, 0.74
5, 0.71
5, 0.79
6, 0.78
6, 0.79
6, 0.82
6, 0.78
6, 0.77
7, 0.74
7, 0.71
7, 0.75
7, 0.73
7, 0.81
8, 0.77
8, 0.76
8, 0.74
8, 0.77
8, 0.78
9, 0.80
9, 0.74
9, 0.79
9, 0.71
9, 0.74
10, 0.80
10, 0.79
10, 0.75
10, 0.76
10, 0.73
11, 0.74
11, 0.79
11, 0.74
11, 0.74
11, 0.78
12, 0.81
12, 0.76
12, 0.74
12, 0.72
12, 0.79
13, 0.79
13, 0.79
13, 0.74
13, 0.77
13, 0.80
14, 0.75
14, 0.79
14, 0.79
14, 0.79
14, 0.79
15, 0.76
15, 0.74
15, 0.73
15, 0.76
15, 0.81
16, 0.83
16, 0.76
16, 0.71
16, 0.80
16, 0.75
