n_thread,time
1, 0.91
1, 1.01
1, 0.55
1, 1.06
1, 1.07
2, 1.12
2, 1.02
2, 0.87
2, 0.99
2, 0.86
3, 0.82
3, 0.92
3, 0.84
3, 0.86
3, 0.98
4, 0.91
4, 0.86
4, 0.88
4, 0.81
4, 0.86
5, 0.90
5, 0.87
5, 0.85
5, 0.88
5, 0.88
6, 0.90
6, 0.89
6, 0.96
6, 0.90
6, 0.89
7, 0.97
7, 0.84
7, 0.82
7, 0.91
7, 0.99
8, 0.93
8, 0.84
8, 0.92
8, 0.93
8, 0.97
9, 0.88
9, 0.82
9, 0.84
9, 0.87
9, 0.85
10, 0.83
10, 0.77
10, 0.82
10, 0.77
10, 0.77
11, 0.82
11, 0.85
11, 0.84
11, 0.81
11, 0.86
12, 1.37
12, 1.18
12, 1.50
12, 1.40
12, 1.32
13, 2.12
13, 1.79
13, 2.04
13, 2.07
13, 2.05
14, 3.36
14, 3.24
14, 3.41
14, 2.96
14, 3.15
15, 4.87
15, 4.34
15, 4.91
15, 4.41
15, 4.39
16, 6.10
16, 5.26
16, 5.32
16, 5.86
16, 6.02
