n_thread,time
1, 0.70
1, 0.78
1, 0.77
1, 0.71
1, 0.72
2, 0.80
2, 0.80
2, 0.76
2, 0.79
2, 0.81
3, 0.71
3, 0.73
3, 0.71
3, 0.76
3, 0.74
4, 0.73
4, 0.72
4, 0.72
4, 0.72
4, 0.75
5, 0.79
5, 0.78
5, 0.79
5, 0.82
5, 0.74
6, 0.80
6, 0.78
6, 0.80
6, 0.79
6, 0.81
7, 0.77
7, 0.77
7, 0.77
7, 0.78
7, 0.76
8, 0.72
8, 0.75
8, 0.77
8, 0.76
8, 0.79
9, 0.80
9, 0.83
9, 0.81
9, 0.79
9, 0.77
10, 0.89
10, 0.91
10, 0.98
10, 0.86
10, 0.78
11, 1.01
11, 0.96
11, 1.02
11, 1.15
11, 0.96
12, 1.22
12, 1.37
12, 1.45
12, 1.35
12, 1.36
13, 1.44
13, 1.65
13, 1.85
13, 1.56
13, 1.58
14, 2.19
14, 1.87
14, 2.11
14, 2.14
14, 2.33
15, 3.10
15, 2.84
15, 2.62
15, 2.85
15, 2.95
16, 2.92
16, 2.84
16, 3.27
16, 3.78
16, 3.06
