n_thread,time
1, 0.22
1, 0.22
1, 0.21
1, 0.21
1, 0.22
2, 4.84
2, 5.28
2, 3.31
2, 4.80
2, 5.16
3, 2.14
3, 2.10
3, 2.03
3, 2.18
3, 2.31
4, 2.07
4, 2.12
4, 2.15
4, 2.36
4, 2.25
5, 4.26
5, 4.28
5, 4.15
5, 4.36
5, 4.43
6, 7.34
6, 7.31
6, 7.46
6, 7.31
6, 7.38
7, 10.09
7, 10.19
7, 9.98
7, 9.83
7, 10.07
8, 11.58
8, 11.46
8, 11.72
8, 11.39
8, 11.66
9, 12.41
9, 11.94
9, 11.87
9, 11.86
9, 11.75
10, 13.10
10, 12.96
10, 13.05
10, 12.91
10, 12.76
11, 13.38
11, 13.58
11, 13.61
11, 13.32
11, 13.36
12, 14.41
12, 14.24
12, 14.40
12, 14.60
12, 14.49
13, 15.09
13, 15.05
13, 14.96
13, 14.94
13, 14.99
14, 15.71
14, 15.87
14, 15.80
14, 15.85
14, 15.91
15, 16.72
15, 16.90
15, 16.80
15, 16.53
15, 16.56
16, 17.65
16, 17.62
16, 17.70
16, 17.56
16, 17.67
