n_thread,time
1, 0.22
1, 0.22
1, 0.22
1, 0.22
1, 0.22
2, 3.76
2, 3.45
2, 2.63
2, 2.80
2, 3.72
3, 2.11
3, 2.39
3, 2.04
3, 2.20
3, 2.33
4, 2.30
4, 2.17
4, 2.14
4, 2.11
4, 2.48
5, 4.49
5, 4.31
5, 4.16
5, 4.37
5, 4.25
6, 7.52
6, 7.48
6, 7.58
6, 7.43
6, 7.35
7, 10.43
7, 10.40
7, 10.26
7, 10.42
7, 10.46
8, 11.87
8, 11.81
8, 11.89
8, 11.82
8, 11.64
9, 12.35
9, 12.51
9, 12.65
9, 12.81
9, 12.57
10, 13.44
10, 13.22
10, 13.34
10, 13.28
10, 13.35
11, 14.34
11, 14.26
11, 14.25
11, 14.39
11, 14.35
12, 15.44
12, 15.73
12, 15.95
12, 15.39
12, 15.63
13, 16.76
13, 16.74
13, 16.78
13, 17.61
13, 16.72
14, 18.39
14, 17.91
14, 18.85
14, 18.26
14, 18.19
15, 19.60
15, 19.89
15, 19.70
15, 20.25
15, 19.36
16, 21.47
16, 21.47
16, 21.69
16, 21.56
16, 21.92
