n_thread,time
1, 0.37
1, 0.36
1, 0.37
1, 0.37
1, 0.36
2, 4.18
2, 4.92
2, 3.72
2, 3.61
2, 3.89
3, 2.13
3, 2.17
3, 2.17
3, 2.24
3, 2.05
4, 2.25
4, 2.26
4, 2.32
4, 2.26
4, 2.38
5, 4.45
5, 4.42
5, 4.44
5, 4.21
5, 4.54
6, 7.43
6, 7.24
6, 7.25
6, 7.39
6, 7.31
7, 10.11
7, 10.12
7, 10.12
7, 10.24
7, 10.28
8, 11.76
8, 11.93
8, 11.28
8, 11.67
8, 11.55
9, 12.24
9, 12.20
9, 12.32
9, 12.16
9, 12.15
10, 12.89
10, 12.80
10, 12.89
10, 12.88
10, 12.84
11, 13.50
11, 13.71
11, 13.43
11, 13.47
11, 13.51
12, 14.71
12, 14.52
12, 14.53
12, 14.57
12, 14.42
13, 15.21
13, 15.30
13, 14.90
13, 15.10
13, 15.31
14, 16.29
14, 16.04
14, 15.81
14, 16.11
14, 16.15
15, 16.97
15, 16.77
15, 16.78
15, 17.03
15, 16.76
16, 17.93
16, 17.89
16, 17.74
16, 17.95
16, 17.82
