n_thread,time
1, fuck you fuck you fuck you 0.00
1, fuck you fuck you fuck you 0.00
1, fuck you fuck you fuck you 0.00
1, fuck you fuck you fuck you 0.00
1, fuck you fuck you fuck you 0.00
2, fuck you fuck you fuck you 0.03
2, fuck you fuck you fuck you 0.03
2, fuck you fuck you fuck you 0.03
2, fuck you fuck you fuck you 0.03
2, fuck you fuck you fuck you 0.03
3, fuck you fuck you fuck you 0.05
3, fuck you fuck you fuck you 0.05
3, fuck you fuck you fuck you 0.05
3, fuck you fuck you fuck you 0.05
3, fuck you fuck you fuck you 0.05
4, fuck you fuck you fuck you 0.08
4, fuck you fuck you fuck you 0.08
4, fuck you fuck you fuck you 0.08
4, fuck you fuck you fuck you 0.08
4, fuck you fuck you fuck you 0.08
5, fuck you fuck you fuck you 0.10
5, fuck you fuck you fuck you 0.10
5, fuck you fuck you fuck you 0.10
5, fuck you fuck you fuck you 0.10
5, fuck you fuck you fuck you 0.10
6, fuck you fuck you fuck you 0.14
6, fuck you fuck you fuck you 0.13
6, fuck you fuck you fuck you 0.14
6, fuck you fuck you fuck you 0.14
6, fuck you fuck you fuck you 0.14
7, fuck you fuck you fuck you 0.19
7, fuck you fuck you fuck you 0.18
7, fuck you fuck you fuck you 0.19
7, fuck you fuck you fuck you 0.18
7, fuck you fuck you fuck you 0.17
8, fuck you fuck you fuck you 0.24
8, fuck you fuck you fuck you 0.23
8, fuck you fuck you fuck you 0.24
8, fuck you fuck you fuck you 0.24
8, fuck you fuck you fuck you 0.26
9, fuck you fuck you fuck you 0.30
9, fuck you fuck you fuck you 0.30
9, fuck you fuck you fuck you 0.30
9, fuck you fuck you fuck you 0.29
9, fuck you fuck you fuck you 0.31
10, fuck you fuck you fuck you 0.37
10, fuck you fuck you fuck you 0.39
10, fuck you fuck you fuck you 0.40
10, fuck you fuck you fuck you 0.40
10, fuck you fuck you fuck you 0.38
11, fuck you fuck you fuck you 0.49
11, fuck you fuck you fuck you 0.47
11, fuck you fuck you fuck you 0.46
11, fuck you fuck you fuck you 0.48
11, fuck you fuck you fuck you 0.52
12, fuck you fuck you fuck you 0.59
12, fuck you fuck you fuck you 0.58
12, fuck you fuck you fuck you 0.58
12, fuck you fuck you fuck you 0.57
12, fuck you fuck you fuck you 0.59
13, fuck you fuck you fuck you 0.69
13, fuck you fuck you fuck you 0.65
13, fuck you fuck you fuck you 0.68
13, fuck you fuck you fuck you 0.68
13, fuck you fuck you fuck you 0.70
14, fuck you fuck you fuck you 0.76
14, fuck you fuck you fuck you 0.76
14, fuck you fuck you fuck you 0.71
14, fuck you fuck you fuck you 0.77
14, fuck you fuck you fuck you 0.76
15, fuck you fuck you fuck you 0.84
15, fuck you fuck you fuck you 0.87
15, fuck you fuck you fuck you 0.84
15, fuck you fuck you fuck you 0.84
15, fuck you fuck you fuck you 0.84
16, fuck you fuck you fuck you 0.88
16, fuck you fuck you fuck you 0.88
16, fuck you fuck you fuck you 0.90
16, fuck you fuck you fuck you 0.89
16, fuck you fuck you fuck you 0.90
